Time,Home,Away,Status
"23:00","KRC Genk","Freiburg","Scheduled"
"23:00","Nottingham","FC Midtjylland","Scheduled"
"23:00","Celta Vigo","Lyon","Scheduled"
"23:00","NK Celje","AEK Athens","Scheduled"
"23:00","Sigma Olomouc","Mainz","Scheduled"
"23:00","Crystal Palace","AEK Larnaca","Scheduled"
"23:00","ACF Fiorentina","RKS Rakow Czestochowa","Scheduled"
"23:00","Defensa Y Justicia","CA Central Cordoba SE","Scheduled"
"23:00","Deportivo Riestra","Gimnasia y Esgrima Mendoza","Scheduled"
"23:15","AL Mosul SC","Al Shorta","Scheduled"
"00:45","Cruz Azul Women","Necaxa Women ","Scheduled"
"01:00","Clube do Remo PA","Fluminense FC","Scheduled"
"01:15","CA Talleres de Cordoba","Instituto AC Cordoba","Scheduled"
"01:15","Estudiantes Rio Cuarto","CA Belgrano de Cordoba","Scheduled"
"01:30","CR Vasco da Gama","SE Palmeiras","Scheduled"
"01:30","Operario","Capital CF DF","Scheduled"
"02:00","Sao Paulo FC","Chapecoense","Scheduled"
"02:00","Santos FC","EC Macapa","Scheduled"
"03:00","Deportivo Toluca Women","Pumas Unam Women","Scheduled"
"03:30","Gremio FB Porto Alegrense","Red Bull Bragantino SP","Scheduled"
"03:30","CA Huracan","CA River Plate (Arg)","Scheduled"
"03:30","Ind. Medellin","CA Juventud de Las Piedras","Scheduled"
"03:30","SC Recife PE","Anapolis FC GO","Scheduled"
"04:00","Queretaro Women","Atlas Women","Scheduled"
"04:06","Pachuca Women","Club Tijuana Women","Scheduled"
"05:00","Tigres U.A.N.L Women","Santos Laguna Women","Scheduled"
"06:10","Mazatlan FC Women","Monterrey Women","Scheduled"
"11:00","Brisbane Roar FC","Western Sydney Wanderers","Scheduled"
"11:00","Adelaide United FC","Perth Glory FC","Scheduled"
"11:00","Newcastle Jets","Sydney FC W","Scheduled"
"11:30","Manly United FC","Western Sydney Wanderers Youth","Scheduled"
"13:00","Australia","North Korea","Scheduled"
"13:00","FK Rostov Youth","FC Krasnodar Youth","Scheduled"
"13:00","Football Academy Of Konoplev","Almaz Antey Youth","Scheduled"
"13:00","Dinamo-Makhachkala Youth","FC Fakel Voronezh Youth","Scheduled"
"13:00","Chertanovo Moscow","Ural Ekaterinburg Youth","Scheduled"
"14:00","Cabrayil","Zaqatala FK","Scheduled"
"14:35","Wuhan Three Towns","Dalian","Scheduled"
"15:00","Nakhon Ratchasima","Chiangrai United","Scheduled"
"15:00","Rubin Kazan Youth","CSKA Moscow Youth","Scheduled"
"15:00","FK Nizhny Novgorod","Lokomotiv Moscow Youth","Scheduled"
"17:15","USM Khenchela","JS Kabylie","Scheduled"
"17:30","Araz Nakhchivan PFK","FK Karvan Yevlakh","Scheduled"
"17:45","PFC Lokomotiv Plovdiv","FK Septemvri Sofia","Scheduled"
"18:00","Doxa","Asil","Scheduled"
"18:30","FC Uta Arad","AFC Hermannstadt","Scheduled"
"19:00","Dinamo Moscow Youth","FK Spartak Moscow","Scheduled"
"19:00","FC Rodina Youth","Zenit St Petersburg Youth","Scheduled"
"19:00","FK Liepaja","FK Rigas Futbola Skola","Scheduled"
"19:30","FC Dynamo-Makhachkala","FC Orenburg","Scheduled"
"19:30","Sumgayit FK","Shamakhi FK","Scheduled"
"19:45","Diosgyori","Kazincbaricika","Scheduled"
"20:00","Rapid Wien II","SKU Amstetten","Scheduled"
"20:00","Bruk-Bet Termalica Nieciecza","LKP Motor Lublin","Scheduled"
"20:00","Lokomotive Sofia","PFC Slavia Sofia","Scheduled"
"20:00","Fatih Karagumruk","Fenerbahce","Scheduled"
"20:00","Antalyaspor","Gaziantep","Scheduled"
"20:00","SPG Hogo Wels","KSV 1919","Scheduled"
"20:00","Chrobry Glogow","Puszcza Niepolomice","Scheduled"
"20:00","Varazdin","Vukovar 91","Scheduled"
"20:00","Usti nad","FK Pribram","Scheduled"
"20:00","Vysocina Jihlava","MFK Chrudim","Scheduled"
"20:30","Magdeburg","Darmstadt 98","Scheduled"
"20:30","Greuther Furth","Elversberg","Scheduled"
"20:30","Oldenburg","Blau-Weiss Lohne","Scheduled"
"21:00","FC Fredericia","Randers FC","Scheduled"
"21:00","Aachen","Energie Cottbus","Scheduled"
"21:00","B93 Copenhagen","HB Koege","Scheduled"
"21:00","Lyngby BK","Middelfart BK","Scheduled"
"21:00","SC Farense","FC Felgueiras 1932","Scheduled"
"21:00","Sporting Lisbon B","GD Chaves","Scheduled"
"21:00","AL Naft","AL Najaf","Scheduled"
"21:00","HIK Hellerup","FC Roskilde","Scheduled"
"21:00","BFC Dynamo","BSG Chemie Leipzig","Scheduled"
"21:00","Buchbach","Bayreuth","Scheduled"
"21:00","Merida AD","Guadalajara","Scheduled"
"21:00","Jena","Meuselwitz","Scheduled"
"21:00","Zwickau","Zehlendorf","Scheduled"
"21:30","Dijon","Aubagne FC","Scheduled"
"21:30","FC Fleury 91","Quevilly-Rouen Metropole","Scheduled"
"21:30","FC Versailles 78","Football Bourg-En-Bresse Peronnas","Scheduled"
"21:30","FC Rouen","Stade Briochin","Scheduled"
"21:30","Le Puy Foot 43 Auvergne","Caen","Scheduled"
"21:30","US Orleans","Paris 13 Atletico","Scheduled"
"21:30","Sochaux","US Concarneau","Scheduled"
"21:30","LB Chateauroux","FC Villefranche Beaujolais","Scheduled"
"21:30","Bellinzona","Etoile Carouge","Scheduled"
"21:30","LASK","TSV Hartberg","Scheduled"
"21:30","Al Ahli Doha SC","Al Arabi Doha SC","Scheduled"
"21:30","Al Rayyan SC","Al Shahaniya","Scheduled"
"21:30","Al Sadd SC","Umm-Salal SC","Scheduled"
"21:30","CS Universitatea Craiova","ACS Champions FC Arges","Scheduled"
"21:30","Lubeck","Hamburg II","Scheduled"
"21:30","Velbert","Fortuna Cologne","Scheduled"
"21:30","Siegen","Wuppertal","Scheduled"
"21:30","Dortmund II","Fortuna Dusseldorf II","Scheduled"
"21:30","Wiedenbruck","Gladbach II","Scheduled"
"22:00","PEC Zwolle","FC Groningen","Scheduled"
"22:00","Jong PSV Eindhoven","FC Eindhoven","Scheduled"
"22:00","MVV Maastricht","VVV Venlo","Scheduled"
"22:00","Bastia","Boulogne","Scheduled"
"22:00","Montpellier","Stade Lavallois MFC","Scheduled"
"22:00","Guingamp","Amiens","Scheduled"
"22:00","Al-Riyadh SC","Al-Ittihad FC","Scheduled"
"22:00","FC Emmen","ADO Den Haag","Scheduled"
"22:00","RKC Waalwijk","Jong AZ Alkmaar","Scheduled"
"22:00","Jong FC Utrecht","Helmond Sport","Scheduled"
"22:00","SC Cambuur","Roda JC","Scheduled"
"22:00","Vitesse Arnhem","Almere City FC","Scheduled"
"22:00","TOP Oss","Willem II Tilburg","Scheduled"
"22:00","Nancy","Le Mans","Scheduled"
"22:00","Clermont","Pau FC","Scheduled"
"22:00","Lierse Kempenzonen","Patro Eisden Maasmechelen","Scheduled"
"22:00","Jong Ajax Amsterdam","FC Den Bosch","Scheduled"
"22:00","Al Qadsiah","Al-Ahli Saudi FC","Scheduled"
